Design Approaches and Tools in Education and Training - Prototyping to Reach Product Quality.pdf | 4 Juni 2026
Website_Gallery_Development_Using_Tailwind_CSS_Fra.pdf | 1 Oktober 2025
ANALISIS KUALITAS PELAYANAN PUBLIK UNIT LAYANAN TERPADU (ULT) SATU PINTU KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI DI D.I. YOGY.pdf | 24 September 2025
ANALISIS KUALITAS PELAYANAN ULT (UNIT LAYANAN TERPADU) UNIVERSITAS DALAM MENCIPTAKAN PENGALAMAN YANG MEMUASKAN.pdf | 24 September 2025
Implementasi Fungsi Pelayanan Publik dalam Pelayanan Terpadu Satu Pintu (PTSP).pdf | 24 September 2025
Service-Upgrade-The-GovTech-Approach-to-Citizen-Centered-Services.pdf | 24 September 2025
Strategi Pelayanan Publik Pada Unit Layanan Terpadu Universitas Negeri Manado.pdf | 24 September 2025
Analisis User Experience (Ux) Pada Website Universitas Singaperbangsa Karawang Menggunakan Metode System Usability Scale(SUS).pdf | 24 September 2025
Implementasi User Center Design dan System Usability Scale Pada Website Sekolah Menengah Atas.pdf | 24 September 2025
Implementation of Web Engineering in the.pdf | 24 September 2025
Uji Usability dan User Experience Website Sistem Informasi Akademik Universitas Terbuka (SIA UT) Berdasarkan Perspektif Mahasiswa Menggunakan Metode U.pdf | 24 September 2025
WEB ENGINEERING.pdf | 24 September 2025
An extended DeLone and McLean’s model to determine the success factors of e-learning platform.pdf | 23 September 2025
ANALISIS INOVASI LAYANAN BERBASIS WEBSITE SIPENTOLMANIS (SISTEM PELAYANAN TERPADU ONLINEKECAMATAN JETIS) DI KABUPATEN MOJOKERTO.pdf | 23 September 2025
Digitalisasi Sistem Pelayanan Dalam Meningkatkan Efisiensi Kerja Pegawai Dan Sistem Pelayanan Akademik Sebelum Pandemi Covid-19 Dan Masa Pandemi Covid-.pdf | 23 September 2025
Investigating the influence of the updated DeLone and McLean information system  IS  success model on the effectiveness of learning management system .pdf | 23 September 2025
PELAYANAN PUBLIK BERBASIS DIGITAL MELALUI WEBSITE SISTEM INFORMASI LAYANAN TERPADU (SILAT) DI UNIVERSITAS LAMBUNG MANGKURAT.pdf | 23 September 2025
TINJAUAN LITERATUR EFEKTIVITAS SISTEM INFORMASI AKADEMIK BERBASIS WEB DI PERGURUAN TINGGI.pdf | 23 September 2025
Analisa Kepuasan Pengguna Website Layanan Akademik Kemahasiswaan (LYKAN) UBSI Menggunakan Metode Webqual 4.0.pdf | 12 Januari 2026
ANALISIS USABILITY WEBSITE SISTEM INFORMASI AKADEMIK STMIK KHARISMA MAKASSAR MENGGUNAKAN USE QUESTIONNAIRE.pdf | 12 Januari 2026
Evaluasi User Experience Sistem Informasi Akademik.pdf | 12 Januari 2026
Uji Usability dan User Experience Website Sistem Informasi Akademik.pdf | 12 Januari 2026
USABILITY TESTING WEBSITE MY UT MENGGUNAKAN.pdf | 12 Januari 2026
Website-Based_Academic_Service_Development_with_AD.pdf | 12 Januari 2026
feb_35efe6a47227d6031a75569c2f3f39d44fe2db43_1652079047.pdf | 28 September 2025
34189-82023-1-PB.pdf | 28 September 2025
ojs_thamrin,+Artikel+Sania+Febriani+Ver+3.pdf | 28 September 2025
Development_of_Mobile_Learning_Applications_MLA_El.pdf | 27 September 2025
Beyond the five user assumption Benefits of increased sample sizes in usability testing.pdf | 4 Juni 2026
Design Approaches and Tools in Education and Training - Prototyping to Reach Product Quality.pdf | 4 Juni 2026
Referensi Standar Usability & Human Factors.pdf | 4 Juni 2026
18.pdf.pdf | 5 Oktober 2025
628870377-sudjana.pdf | 5 Oktober 2025
740858744-Dasar-dasar-Evaluasi-Pendidikan.pdf | 5 Oktober 2025
756557803-Suharsimi-Arikunto-Prosedur-Penelitian.pdf | 5 Oktober 2025
Pressman RS-Software Engineering_A Practitioner’s Approach.pdf | 5 Oktober 2025
Three Coefficients for Analyzing the Reliability and Validity of Ratings.pdf | 25 Mei 2026
Digital transformation initiatives in higher education institutions A multivocal literature review.pdf | 24 Agustus 2025
One-Stop University Administration An Information Architecture for Higher Education.pdf | 24 Agustus 2025
Rancang Bangun, Requirement Analysis, Architectural Design and Formal Verification of a Multi-Agent Based University Information Management System.pdf | 24 Agustus 2025
OPTIMALISASI UNIT LAYANAN TERPADU MELALUI PENGEMBANGAN LAYANAN INFORMASI TERINTEGRASI BERBASIS WEBSITE DILINGKUNGAN BALAI PENJAMINAN MUTU PENDIDIKAN PROVINSI LAMPUNG.pdf | 24 Agustus 2025
PELAYANAN PUBLIK BERBASIS DIGITAL MELALUI WEBSITE.pdf | 24 Agustus 2025
Sistem_Informasi_Pelayanan_Administrasi_pada_Unit_.pdf | 24 Agustus 2025
